birds, neural network result (jump), currentFitness
12,8.539692,3.181612
12,2.885129,3.189954
12,32.4175,3.198279
12,-2.822124,3.206624
12,16.42747,3.214949
12,1.203132,3.223314
12,-0.447371,3.231639
12,13.7023,3.239964
12,-10.17367,3.248289
12,-10.29495,3.256627
12,12.09318,3.264952
12,-11.21602,3.27329
12,-11.7846,3.281615
12,-8.469804,3.289953
12,-14.59351,3.298292
12,-7.10307,3.306626
12,-2.884242,3.314951
12,-16.05029,3.323291
12,7.435999,3.331616
12,7.835026,3.339959
12,0.046302,3.348284
12,-2.389239,3.356622
12,-0.555295,3.364958
12,-7.2533,3.373302
12,-11.04784,3.381627
12,-20.66255,3.389963
12,-7.032393,3.398288
12,-15.97011,3.406625
12,-0.624181,3.41495
12,10.58368,3.423292
12,5.629499,3.431617
12,-6.91423,3.439955
12,12.19737,3.44829
12,-24.74733,3.456624
12,4.959338,3.464949
12,-0.106258,3.47329
12,17.22046,3.481616
12,13.9897,3.489956
11,-6.240926,3.498297
11,-6.332941,3.506622
11,-2.55355,3.514947
11,7.573311,3.523287
11,1.663675,3.531612
11,-16.75019,3.539954
11,-0.284711,3.548288
11,15.06331,3.556613
11,7.21396,3.56495
11,-10.74392,3.57329
11,-12.15338,3.581615
11,-3.99746,3.589955
11,16.49307,3.59828
11,-11.11685,3.606626
11,-5.306817,3.614951
11,16.64693,3.623289
11,12.85682,3.631614
11,-16.01414,3.639951
11,-2.550814,3.648289
11,9.038604,3.656615
11,8.281021,3.664952
11,-12.88696,3.673294
11,4.041329,3.681619
11,-10.77707,3.689954
11,14.4085,3.698279
11,1.643037,3.706621
11,-12.18996,3.714947
11,-4.848534,3.723294
11,-4.045925,3.731619
11,4.491963,3.739944
11,-22.04129,3.748293
11,-1.529932,3.756618
11,-10.04826,3.764943
11,17.74653,3.773293
11,19.73047,3.781618
11,-3.994045,3.789953
11,-1.389642,3.798278
11,-4.784249,3.806623
11,6.845555,3.814948
11,11.09202,3.823287
11,-6.943032,3.831612
11,-3.934124,3.839952
11,3.348279,3.848289
11,19.45327,3.856615
11,-3.777036,3.86495
11,-7.056693,3.873275
11,-7.123295,3.881618
11,-12.29419,3.889944
11,9.215747,3.898316
11,-3.531285,3.906641
11,5.049719,3.914966
11,4.717745,3.923291
11,-10.45472,3.931616
11,10.36934,3.939955
11,0.959216,3.94828
11,-1.619845,3.956618
11,-16.28661,3.964943
11,-19.60367,3.973286
11,-0.035982,3.981611
11,8.713671,3.989947
11,-10.26768,3.998291
11,-0.666616,4.006617
11,10.89016,4.014942
11,-5.444607,4.023296
11,9.422311,4.031621
11,-12.07502,4.039947
11,18.39832,4.048292
11,-13.52483,4.056617
11,2.791244,4.064942
11,20.85554,4.073292
11,3.589101,4.081617
11,7.512919,4.089951
11,-4.138759,4.098285
11,-0.389993,4.10661
11,7.068022,4.114949
11,7.851057,4.123274
11,-5.365282,4.13161
11,-19.52302,4.139954
11,-2.993343,4.148279
11,-9.268207,4.156615
11,-14.68598,4.16494
11,12.96283,4.173282
11,-19.33441,4.181607
11,-5.107795,4.189946
11,-3.245224,4.198288
11,-11.16085,4.206614
11,-10.67428,4.214949
11,0.712503,4.223284
11,13.58512,4.231609
10,-10.75274,4.239953
10,-1.856582,4.248278
10,-12.6424,4.256613
10,-2.94308,4.264948
10,13.99459,4.273273
10,27.24053,4.281609
10,-9.433436,4.289947
10,8.787015,4.298272
10,-13.01822,4.306613
10,2.329261,4.314939
10,-10.6559,4.323279
10,26.20476,4.331614
10,-21.22553,4.339939
10,-16.33879,4.348276
10,7.99175,4.356612
10,16.73484,4.364937
10,1.756524,4.373284
10,20.22284,4.381609
10,-3.450951,4.389943
10,11.05425,4.398277
10,6.794837,4.406602
10,8.718548,4.414945
10,13.35166,4.423281
10,19.41713,4.431606
10,1.585226,4.456614
10,-9.482226,4.464939
10,20.89471,4.564945
10,-15.30328,4.573283
10,-3.193088,4.589946
10,18.70721,4.606608
10,-2.961437,4.63161
10,-13.9773,4.639935
10,3.826007,4.656615
10,22.79063,4.673287
10,-3.643394,4.681612
10,-10.86168,4.698275
10,-7.135221,4.714941
10,-17.66206,4.73161
10,-15.94059,4.748275
10,-7.483136,4.773288
10,0.236771,4.781613
10,5.651111,4.79827
10,-7.429678,4.806604
10,-19.64505,4.82328
10,-17.22672,4.839942
10,10.62354,4.856605
10,-19.36687,4.881601
9,21.50036,4.889926
9,-11.65779,4.906607
9,13.68025,4.914932
9,-12.27503,4.931601
9,16.2245,4.948291
9,-10.97019,4.964955
9,3.63471,4.981599
9,-18.78375,5.006602
9,-3.927451,5.014927
9,-11.99249,5.031603
9,-2.037496,5.048275
9,16.60844,5.0566
9,14.82109,5.073277
9,15.46835,5.089938
9,5.842028,5.106606
9,10.79309,5.123273
9,-7.443467,5.139938
9,23.21191,5.1566
9,22.63884,5.164938
9,27.98319,5.181598
8,2.794517,5.198264
8,-12.7284,5.214938
7,16.34665,5.231596
7,17.42352,5.2566
7,13.8322,5.264925
7,24.15961,5.281597
7,5.187229,5.289947
7,0.60637,5.306601
7,29.75567,5.323272
7,-2.794598,5.339937
7,14.21445,5.356601
7,2.811806,5.381603
7,-0.430157,5.389928
7,10.13512,5.406598
7,-10.12431,5.42327
7,-10.2739,5.431595
7,15.11392,5.448262
7,-11.2168,5.464931
7,-11.76231,5.481598
7,-8.424147,5.506599
7,-14.55863,5.514924
7,-7.086387,5.531595
7,-2.899508,5.53993
7,-15.99937,5.556597
7,4.569928,5.573268
7,5.737489,5.589933
7,0.004888,5.606599
7,-2.403395,5.623267
7,-0.539018,5.639932
7,-7.227521,5.656598
7,-11.00036,5.664941
7,-20.60497,5.681597
7,-7.029503,5.698263
7,-15.95941,5.714929
7,-0.62847,5.731595
7,10.55929,5.748259
7,5.631646,5.764942
7,-6.919695,5.773267
7,12.18348,5.789943
7,-24.7237,5.806595
7,4.948378,5.823262
7,-0.096207,5.839929
7,17.20228,5.856593
7,13.96641,5.881597
7,-6.219705,5.889922
7,-6.316241,5.898247
7,-2.548958,5.906597
7,7.557574,5.914922
7,1.663864,5.923263
7,-16.73102,5.931588
7,-0.273286,5.93993
7,15.04201,5.948265
7,7.212774,5.95659
7,-10.72974,5.964946
7,-12.13135,5.973271
7,-3.979935,5.981596
7,16.47727,5.989932
7,-11.09643,5.998257
7,-5.301305,6.006594
7,16.62799,6.014919
7,12.83923,6.023262
7,-15.99477,6.031587
7,-2.543769,6.039939
7,9.016079,6.048264
5,8.264949,6.056589
5,-12.88192,6.064939
5,4.036129,6.073264
5,-10.76631,6.081589
5,14.39693,6.089935
5,1.642561,6.09826
5,-12.16701,6.106597
1,-4.841588,6.114923
1,-4.042574,6.12326
1,4.493311,6.131598
1,-22.01954,6.139924
1,-1.525628,6.148249
1,-10.02673,6.15659
1,17.72869,6.164947
1,19.71763,6.173272
1,-3.998729,6.181597
1,-1.394878,6.189922
1,-4.784222,6.198257
1,6.844167,6.206593
1,11.08083,6.214918
1,-6.934891,6.223255
1,-3.925511,6.231591
1,3.350276,6.239925
1,19.43994,6.24825
1,-3.765329,6.256588
1,-7.037437,6.264914
1,-7.126436,6.273259
1,-12.27256,6.281595
1,9.210379,6.28992
1,-3.521415,6.298258
1,5.051587,6.306592
1,4.700502,6.314917
1,-10.44749,6.323253
1,10.3462,6.331578
1,0.960618,6.339931
1,-1.626367,6.348256
1,-16.26331,6.356581
1,-19.58077,6.364925
1,-0.024749,6.373262
1,8.708434,6.381587
1,-10.24996,6.389925
1,-0.654206,6.39825
1,10.8857,6.406589
1,-5.428932,6.414924
1,9.415734,6.423249
1,-12.06594,6.431587
1,18.38124,6.439927
1,-13.51596,6.448252
1,2.792973,6.456591
1,20.83476,6.464916
1,3.587039,6.473254
1,7.509032,6.48159
1,-4.132253,6.489915
1,-0.391934,6.498257
1,7.063187,6.50659
1,7.846262,6.514915
1,-5.352517,6.523253
1,-19.50466,6.531591
1,-2.984153,6.539927
1,-9.268462,6.548252
1,-14.67635,6.556589
1,12.9487,6.564914
1,-19.31298,6.573256
1,-5.099781,6.581591
1,-3.242559,6.589916
1,-11.1458,6.598241
1,-10.66659,6.606594
1,0.720863,6.614919
1,13.56774,6.623255
1,-10.73077,6.63159
1,-1.862065,6.639915
1,-12.62905,6.648251
1,-2.9421,6.65659
1,13.97626,6.664916
1,27.21612,6.673251
1,-9.412506,6.681576
1,8.775966,6.689924
1,-13.01542,6.698249
1,2.320671,6.706589
1,-10.65167,6.714914
1,26.18037,6.723254
1,-21.20727,6.731579
