birds, neural network result (jump), currentFitness
6,9.213986,5.525031
6,22.36092,5.52701
6,4.134429,5.529013
6,-15.08016,5.53115
6,26.67217,5.535862
6,19.99625,5.537849
6,-2.152897,5.53978
6,-3.043575,5.542042
6,-2.832825,5.546188
6,-11.56206,5.548059
6,17.33118,5.550514
6,2.292782,5.552323
6,-12.4312,5.554077
6,-5.164242,5.555864
6,-1.867761,5.557612
6,-10.91172,5.559404
6,11.00658,5.56123
6,0.715777,5.563209
6,4.815111,5.564914
6,21.62485,5.56747
6,9.415705,5.569249
6,-13.93689,5.570994
6,13.87724,5.572906
6,20.15886,5.574861
6,6.156541,5.576688
6,-8.122571,5.57861
6,-25.18474,5.580635
6,11.9824,5.583761
6,-16.76921,5.58571
6,12.35567,5.587598
6,-20.68185,5.590047
6,8.197358,5.591966
6,15.55133,5.593853
6,-2.811456,5.595603
6,16.4288,5.597349
6,18.45234,5.599054
6,-8.761819,5.601243
6,7.899441,5.603118
6,6.143756,5.604896
6,-14.57805,5.606606
6,3.912054,5.608366
6,-4.527001,5.610172
6,8.23111,5.611956
6,12.36278,5.614012
6,-3.981246,5.615833
6,14.96107,5.617777
6,-21.21957,5.619688
6,-2.534797,5.621478
6,19.80049,5.623385
6,27.19231,5.625317
6,10.54479,5.627241
6,1.482975,5.629173
6,-0.730158,5.631384
6,-5.49064,5.633616
6,-7.889405,5.643356
6,-7.263615,5.646372
6,-15.84131,5.650701
6,14.44784,5.652807
6,-20.20919,5.655406
6,13.81794,5.657428
6,12.89127,5.659728
6,-4.628818,5.661669
6,16.8521,5.663971
6,8.452821,5.666029
6,7.470126,5.668725
6,-0.215853,5.6706
6,7.226793,5.672488
6,13.91372,5.675612
6,13.55232,5.678071
6,-13.96521,5.679972
6,-9.251634,5.682004
6,18.87497,5.686565
6,4.07269,5.688652
6,4.511316,5.690659
6,-0.521063,5.692655
6,-11.06448,5.694691
6,-10.51799,5.69742
6,20.34646,5.700445
6,-3.794069,5.702979
6,-22.06202,5.705289
6,6.904867,5.707406
6,2.968499,5.709306
6,-0.47929,5.711389
6,14.37909,5.714178
6,-17.37296,5.716765
6,4.875917,5.718692
6,-11.78208,5.720511
6,2.683049,5.72229
6,-4.101922,5.724188
6,-7.753233,5.72605
6,-2.65291,5.728033
6,7.79783,5.730396
6,0.559447,5.732158
6,-14.22789,5.735112
6,20.36021,5.737559
6,14.0489,5.739559
6,-6.75514,5.742039
6,0.584121,5.744274
6,20.39008,5.746277
6,-15.10275,5.748281
6,-10.8284,5.750644
6,-2.229699,5.752641
6,4.361939,5.754689
6,-1.14091,5.75665
6,-0.847663,5.762265
6,14.99934,5.764495
6,-12.92563,5.766659
6,21.89567,5.768998
6,-8.31346,5.770781
6,-6.557088,5.772594
6,1.040642,5.774428
6,3.138804,5.776623
6,13.80408,5.778626
6,8.679917,5.780663
6,-17.48941,5.78414
6,-21.93619,5.786146
6,-18.0402,5.788017
6,10.20343,5.790439
6,3.975078,5.792666
6,28.76645,5.794648
6,-4.391752,5.797187
6,-14.1427,5.799248
6,-5.54437,5.801488
6,-11.0134,5.803345
6,-7.802878,5.805233
6,-11.00177,5.807152
6,11.89196,5.809079
6,-12.87041,5.810975
6,9.027204,5.812837
6,-12.69611,5.814747
6,-6.612073,5.817333
6,-15.43072,5.819232
6,-13.62016,5.820967
6,11.56263,5.822805
6,2.87499,5.825271
6,1.287672,5.828104
6,8.081809,5.830394
6,11.82342,5.832395
6,8.02805,5.836442
6,11.60803,5.838325
6,-3.8396,5.840218
6,12.20515,5.842571
6,23.04134,5.845813
6,12.27808,5.849285
6,5.895448,5.852175
6,0.877143,5.855072
6,13.73246,5.857518
6,3.33555,5.859748
6,2.623037,5.863861
6,1.853385,5.865993
6,13.27726,5.868317
6,4.413603,5.870503
6,-9.400953,5.872226
6,16.76254,5.874074
6,1.113227,5.875932
6,-16.15132,5.877729
6,-17.17868,5.879799
6,14.09916,5.881669
6,0.863012,5.88459
6,-10.61344,5.886872
6,-4.984763,5.888778
6,12.73347,5.891374
6,4.698763,5.893698
6,24.38317,5.895736
6,9.396852,5.897964
6,-8.210824,5.900321
6,-14.46301,5.902269
6,-16.87932,5.904129
6,4.895172,5.905998
6,3.044016,5.907882
6,3.510733,5.909684
6,-0.90299,5.911638
6,9.361173,5.913924
6,12.42829,5.916418
6,8.635033,5.919011
6,-9.87755,5.920857
6,-10.16801,5.92291
6,-6.533465,5.925636
6,23.06981,5.927752
6,-8.110441,5.929721
6,-24.61068,5.931677
6,-17.49929,5.933939
6,8.038613,5.935978
6,7.494784,5.938095
6,-14.5358,5.940167
6,-12.59144,5.942181
6,12.95732,5.94415
6,15.5938,5.946105
6,-9.792026,5.94828
6,-16.53645,5.950593
6,9.261557,5.952453
6,15.41358,5.954204
6,-19.19,5.956149
6,10.28858,5.958418
6,-6.680382,5.96111
6,16.5106,5.963207
6,-12.30066,5.965141
6,-5.760573,5.967756
6,12.79394,5.970067
6,-11.55348,5.974347
6,9.257161,5.976237
6,22.50952,5.978092
6,3.915273,5.980543
6,-14.80901,5.982651
6,26.78513,5.986871
6,19.86084,5.988759
6,-2.133412,5.991085
6,-2.817686,5.993151
6,-2.700178,5.99531
6,-11.48198,5.997787
6,17.2289,5.999988
6,2.047184,6.002528
6,-12.25148,6.004546
6,-4.964329,6.006431
6,-1.950621,6.008422
6,-10.78258,6.010277
6,11.03387,6.012234
6,0.654926,6.014479
6,4.572925,6.01667
6,21.62339,6.019217
6,9.329736,6.02108
6,-13.88676,6.023394
6,14.05023,6.025386
6,20.15461,6.027303
6,6.33975,6.029197
6,-7.897059,6.031429
6,-25.20345,6.033689
6,12.05887,6.035793
6,-16.78288,6.037724
6,12.49697,6.039779
6,-20.48049,6.041754
6,8.117236,6.044164
6,15.45639,6.046434
6,-2.743162,6.048883
6,16.16478,6.051299
6,18.63588,6.05323
6,-8.865964,6.055035
6,7.9229,6.05753
6,6.004305,6.059989
6,-14.4862,6.062041
6,4.030054,6.064353
6,-4.622432,6.066619
6,8.161045,6.068479
6,12.34264,6.070507
6,-3.908817,6.072339
6,14.95063,6.074339
6,-21.28168,6.076377
5,-2.330675,6.078324
5,19.81444,6.080889
5,27.26578,6.085735
5,10.49814,6.088948
5,1.292613,6.093168
5,-0.617205,6.095106
5,-5.352055,6.097143
5,-7.908442,6.10158
5,-7.248903,6.103609
5,-15.92243,6.105505
5,14.25518,6.107356
5,-20.01438,6.110481
5,13.83,6.112712
5,12.88575,6.11478
5,-4.645498,6.117524
1,16.83386,6.119454
1,8.533073,6.121404
1,7.614247,6.123663
1,-0.045558,6.12684
1,7.23942,6.12957
1,13.76171,6.131767
1,13.51965,6.135421
1,-13.99709,6.140578
1,-9.079955,6.142633
1,18.57127,6.144529
1,4.092939,6.146541
1,4.332022,6.149045
1,-0.631315,6.151709
1,-11.13229,6.153593
1,-10.49214,6.155449
1,20.21438,6.157563
1,-3.941943,6.159729
1,-22.10082,6.161744
1,6.949769,6.164049
1,3.126379,6.166063
1,-0.450947,6.168211
1,14.40573,6.170015
1,-17.28037,6.171759
1,4.948265,6.173466
1,-11.60473,6.175602
1,2.701328,6.177471
1,-4.121239,6.179275
1,-7.732317,6.181357
1,-2.572368,6.183648
1,7.78257,6.187676
